row,id,field,old,new,note
2,1,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
2,1,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
3,2,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
3,2,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
4,3,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
4,3,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
5,4,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
5,4,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
6,5,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
6,5,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
7,6,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
7,6,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
8,7,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
8,7,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
9,8,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
9,8,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
10,9,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
10,9,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
10,9,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
11,10,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
11,10,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
11,10,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
12,11,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
12,11,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
12,11,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
13,12,body_category,,Core,category_inferred_2026-01-01T00:00:00Z
13,12,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
14,13,equipment,,bodyweight,equip_inferred_2026-01-01T00:00:00Z
14,13,body_category,,Full Body,category_inferred_2026-01-01T00:00:00Z
14,13,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
15,14,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
16,15,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
17,16,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
17,16,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
18,17,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
18,17,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
19,18,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
19,18,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
20,19,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
20,19,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
21,20,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
21,20,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
22,21,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
22,21,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
23,22,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
23,22,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
24,23,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
25,24,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
25,24,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
26,25,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
26,25,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
27,26,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
27,26,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
28,27,body_category,,Lower,category_inferred_2026-01-01T00:00:00Z
28,27,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
29,28,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
30,29,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
31,30,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
32,31,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
32,31,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
33,32,body_category,,Upper,category_inferred_2026-01-01T00:00:00Z
33,32,fatigue,,Medium,fatigue_normalized_2026-01-01T00:00:00Z
