Id,name,primary_muscle,secondary_muscles,core_engagement,unilateral,plyometric,isometric,knee_friendly,spine_load,body_category,type,level,impact,equipment,movement_pattern,tags,avoid_if_knee_issues,avoid_if_lower_back_issues,description,gif_url,fallback_url,fallback_url 2,Fatigue,Modified_Auto
1,Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
2,Wide Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
3,Diamond Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
4,Pike Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
5,Decline Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
6,Incline Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
7,Hindu Push-Ups,chest,,,,,,,,,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
8,Shoulder Taps,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
9,Plank,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
10,Side Plank,core,,,,,,,,Core,,,,bodyweight,,,,,,,,,Medium,equip_inferred_2026-01-01T00:00:00Z|category_inferred_2026-01-01T00:00:00Z|fatigue_normalized_2026-01-01T00:00:00Z
