Id,name,primary_muscle,secondary_muscles,core_engagement,unilateral,plyometric,isometric,knee_friendly,spine_load,body_category,type,level,impact,equipment,movement_pattern,tags,avoid_if_knee_issues,avoid_if_lower_back_issues,description,gif_url,fallback_url,fallback_url 2,Fatigue,Modified_Auto
,Burpee,Core,,,,TRUE,,,,full body,plyometric,,,bodyweight,,hiit;metcon;conditioning,,,,,,,Core:1;Chest:0.5;Shoulders:0.5;Quads:0.5,seed_hiit_2026-01-02
,Mountain climbers,Core,,,,,,,,full body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Core:1;Shoulders:0.3;Quads:0.3,seed_hiit_2026-01-02
,High knees,Quads,,,,,,,,lower body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Quads:1;Calves:0.3,seed_hiit_2026-01-02
,Jumping jacks,Shoulders,,,,,,,,full body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Shoulders:0.4;Calves:0.4,seed_hiit_2026-01-02
,Squat jumps,Quads,,,,TRUE,,,,lower body,plyometric,,,bodyweight,,hiit;plyo,,,,,,,Quads:1;Glutes:0.6;Calves:0.4,seed_hiit_2026-01-02
,Lunge jumps,Quads,,,,TRUE,,,,lower body,plyometric,,,bodyweight,,hiit;plyo,,,,,,,Quads:1;Glutes:0.6;Calves:0.4,seed_hiit_2026-01-02
,Skater hops,Glutes,,,,TRUE,,,,lower body,plyometric,,,bodyweight,,hiit;plyo,,,,,,,Glutes:1;Quads:0.5;Calves:0.4,seed_hiit_2026-01-02
,Tuck jumps,Quads,,,,TRUE,,,,lower body,plyometric,,,bodyweight,,hiit;plyo,,,,,,,Quads:1;Core:0.3;Calves:0.4,seed_hiit_2026-01-02
,Broad jumps,Quads,,,,TRUE,,,,lower body,plyometric,,,bodyweight,,hiit;plyo,,,,,,,Quads:1;Glutes:0.6;Calves:0.4,seed_hiit_2026-01-02
,Fast feet (in-place),Calves,,,,,,,,lower body,cardio,,,bodyweight,,hiit;conditioning,,,,,,,Calves:0.8;Quads:0.4,seed_hiit_2026-01-02
,Plank jacks,Core,,,,,,,,full body,cardio,,,bodyweight,,hiit;core,,,,,,,Core:1;Shoulders:0.5,seed_hiit_2026-01-02
,Plank shoulder taps,Shoulders,,,,,,,,upper body,core,,,bodyweight,,hiit;core,,,,,,,Shoulders:0.6;Core:0.6,seed_hiit_2026-01-02
,Push-up to plank (up-downs),Chest,,,,,,,,upper body,metcon,,,bodyweight,,hiit;conditioning,,,,,,,Chest:0.8;Triceps:0.6;Core:0.5,seed_hiit_2026-01-02
,Push-ups,Chest,,,,,,,,upper body,strength,,,bodyweight,,hiit,,,,,,,Chest:1;Triceps:0.7;Shoulders:0.5,seed_hiit_2026-01-02
,Squats (air squats),Quads,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Quads:1;Glutes:0.6,seed_hiit_2026-01-02
,Alternating lunges,Quads,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Quads:1;Glutes:0.6,seed_hiit_2026-01-02
,Reverse lunges,Glutes,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Glutes:1;Quads:0.6,seed_hiit_2026-01-02
,Split squat (bodyweight),Quads,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Quads:1;Glutes:0.6,seed_hiit_2026-01-02
,Glute bridge,Glutes,,,,,,,,lower body,strength,,,bodyweight,,hiit,,,,,,,Glutes:1;Hamstrings:0.4,seed_hiit_2026-01-02
